sample_id,reference,kobart_prediction,kot5_prediction,kobart_rouge1,kot5_rouge1,kobart_rouge2,kot5_rouge2,kobart_rougeL,kot5_rougeL,kobart_bleu,kot5_bleu,kobart_bertscore,kot5_bertscore,kobart_semantic_similarity,kot5_semantic_similarity,kobart_novel_ngram_rate,kot5_novel_ngram_rate
0,"인공지능(AI) 제조 플랫폼은 중소 제조기업이 갖추기 어려운 데이터 저장분석 인프라, 인공지능(AI) 전문가, 실증 서비스 등을 한 곳에 모아, 인공지능(AI)를 효율적으로 활용할 수 있는 토대를 마련한다는 점에서 의미가 있다. 정부는 스마트제조혁신추진단, 카이스트 등 전문기관과 협업해 중소기업의 제조과정상 문제점을 인공지능(AI)로 해결할 수 있도록 전문가 컨설팅과 현장실증을 지원하는 한편, 연구개발(R&D)과 스마트공장 보급사업을 통해 클라우드 기반 인공지능(AI) 스마트공장을 개발확산시켜나갈 계획이다.","NHN과 KT 컨소시엄은 중소 제조기업이 갖추기 어려운 데이터 저장분석 인프라, 인공지능(AI) 전문가, 실증 서비스 등을 한 곳에 모아 인공지능(AI)을 효율적으로 활용할 수 있는 토대를 마련한다는 점에서 의미가 있고,민간 클라우드 사업자는 인공지능(AI) 제조 플랫폼의 대용량 스토리지, 고성능컴퓨팅 자원 등 핵심 인프라와 인공지능(AI) 분석, 소프트웨어 개발 등 플랫폼 환경을 제공하고, 외부 해킹 과 정보 유출 방지를 위한 보안과 서비스 이용을 위한 기술 지원 등을 담당하게 된다.",NHN과 KT가 보유한 대규모 인프라와 안정적인 운영 능력뿐만 아니라 다양한 인공지능 플랫폼 서비스를 선택해 활용할 수 있게 제공한다는 측면을 인정받아 최종 사업수행자로 NHN 컨소시엄이 선정됐다.   ,0.6153846153846153,0.0,0.5454545454545454,0.0,0.6153846153846153,0.0,0.3216868993433081,0.006994416859449339,0.8425867557525635,0.6929353475570679,0.9413813352584839,0.8548656105995178,0.6666666666666666,0.9583333333333334
1,주한미국상공회의소(암참·AMCHAM)와 주한유럽상공회의 등 외국상공회의소는 2018년 11월 공정위의 현장조사를 비판하는 공동 성명을 냈다. 이들은 “공정위는 정보와 데이터 입수를 위한 조사를 수행할 때 정당한 절차를 따라야 한다”며 자의적 조사권 행사에 대해 비판했다.,"올해 들어서도 공정위는 20개 계열사 고의 신고누락 혐의로 이해진 네이버 글로벌투자책임자를 검찰에 고발했으나 무혐의 처리로 사건이 종결되었고, 김범수 카카오 의장도 5개 계열사 신고누락으로 공정위가 고발해 기소됐으나 지난 2월 대법원에서 무죄 판결을 받으며  공정위 현장규제에 대한 비판은 한국에 진출한 해외 기업에서도 꾸준히 제기되면서 주한미국상공회의소(암참·AMCHAM)와 주한유럽상공회의소 등 외국상공회의소는 2018년 11월 공정위의 현장조사를 비판하는 공동 성명을 내어 공정한위는 정보와 데이터 입수를 위한 조사를 수행할 때 정당한 절차를 따라야 하며 영장을 통해 법원의 통제를 받도록 할 필요가 있다고 밝혔다.",공정위는 20개 계열사 고의 신고누락 혐의로 네이버 글로벌투자책임자를 검찰에 고발했으나 무혐의 처리로 사건이 종결됐고 김 카카오 의장도 무혐의 판결을 받았다.   해외 기업에서도 공정위 현장규제에 대한 비판이 꾸준히 제기된다.,0.6666666666666666,0.0,0.5714285714285715,0.0,0.6666666666666666,0.0,0.21834401759061967,0.0,0.770478367805481,0.6779811978340149,0.9204027056694031,0.8157742619514465,0.7702702702702703,1.0
2,"농협금융지주회사회장 김용환] ""그래서 아마 2007년 2008년 2010년 그때 대기업 여신을 좀 했습니다. 그다음에 중소기업을 하다가 기업 여신을 늘리다 보니까 대기업 여신 쪽에 특히 조선ㆍ해운 같은 취약산업에 들어온 것 같습니다. 그런데 농협은 기본적으로 가계금융을 좀 많이 했고요.","농협금융 여신 심사나 감리시스템, 편중여신 이런 부분들이 체크가 잘 안되는 시스템이어서 다른 은행들이 좀 줄일 때 농협이 들어간 것 같다고 전했다.  해가 지고 나면 농민들을 위한 여신과 비농민들을 위한 여신하고 비율이 대개 얼마쯤 되는지 혹시 물어보면 그게 지금 기억이 있을지 모르지만 이 말씀만 물어보면 그게 아마 지금 기억이 있을지 모르겠지만 이게 소위 농민들을 위해 여신하고 그냥 비농민을 위한 여신하고 비율은 대개 얼마쯤인지 혹시 궁금해서 물어보시면 답합니다.",농협금융지주회사회장 김 씨는 가계금융을 많이 했고 중소기업을 하다가 기업 여신을 늘리다 보니 대기업 여신 쪽에 취약산업에 들어온 것 같다고 했다.   안 위원은 농민들을 위한 여신과 조선업체의 특수관계가 ,0.0,0.0,0.0,0.0,0.0,0.0,0.006790186827102368,0.16271125234453687,0.6572825908660889,0.8207611441612244,0.8257997632026672,0.9069366455078125,1.0,0.6923076923076923
3,"김재연 위원] ""통합진보당 김재연 위원입니다. 사외이사는 이사회에 참석을 해서 기업 경영활동에 조언도 해 줘야 하고 감시하는 역할도 잘 해야 하는데 이런 역할 충실하게 잘 했다고 생각하십니까? 안전행정부장관후보자 정종섭] ""저는 다 했다고 생각합니다.""",현대엘리베이터에서 사외이사로 근무를 하면서 총 1억 5000만 원가량을 받으셨는데 사외이사는 이사회에 참석해서 기업 경영활동에 조언도 해 줘야 하고 감시하는 역할도 해야 하는데 사외이사 역할을 충실하게 잘 했다고 생각하십니다”라며 “잘못한 과오들이 참 많다라고 방금 강창일 위원님께서 말씀해 주셨는데 알려지지 않은 문제 한 가지 더 지적하고자 한다”고 말했다.,김 위원은 현대엘리베이터에서 사외이사로 근무하면서 총 1억 5000만 원가량을 받았는데 과도하다는 지적이 있었고 성실하게 일하지 않았다는 지적도 나왔다고 했다.   김 안전행정부장관후보자는 다 했다고 했다 . .  라고 했다,0.0,0.0,0.0,0.0,0.0,0.0,0.19595896084479622,0.018900137645561192,0.7334689497947693,0.7134938836097717,0.8860895037651062,0.8384190201759338,0.7555555555555555,0.9629629629629629
4,"진성준 위원] ""그렇지요. 그래서 그런 결정문을 ‘이것 부결하기로 하자. 부결할 수밖에 없겠다’라고 하는 의견을 전체적으로 장관께서 정리를 하시고 그 의견에 대해서 가부를 다 묻는 문서 회람을 한 것 아닙니까? 국방부전력자원관리실장 이용대] ""그렇습니다.""","국방사업청에서 보고한 다음에 위원장이신 장관님께서 각 위원들에게 여기에 대한 의견을 다 제시해서 기종 결정은 부결하는 것에 대해서 각 위원들한테 의견을 다시 한번 물은 겁통이진성준 위원""이라며, ""부결할 수밖에 없겠다라고 하는 의견을 전체적으로 장관께서 정리를 하시고 그 의견에 대해서 가부를 묻는 문서 회람을 한 것입니다""라고 말했다.",진 위원이 F-15SE로 가는 것은 부적절하다는 의견을 정리하고 가부를 묻는 의견들을 다 적었냐고 묻자 이 국방부전력자원관리실장은 하지 않았다고 했다.   김 장관에게 다시 확인할 것이라고 했다 .  ,0.0,0.0,0.0,0.0,0.0,0.0,0.2620349579125641,0.011763337304914299,0.7822258472442627,0.7306299209594727,0.932549238204956,0.7978898286819458,0.7209302325581395,1.0
5,"국립생물자원관은 국가생물주권을 주장하는 기초자료로서 한반도에 서식하는 모든 생물종을 목록화하고 관리하기 위해 ‘국가생물종목록’을 구축하고 있으며, 북한지역도 포함하고 있다. 환경부 소속 국립생물자원관(관장 배연재)은 2016년부터 2020년까지 문헌 조사를 통해 확보한 북한에 서식하는 균류 1,779종의 정보를 담은 ‘국가생물종목록집북한지역 균류’를 11월 20일 발간한다.","국립생물자원관은 2016년부터 2020년까지 문헌 조사를 통해 확보한 북한에 서식하는 균류 1,779종의 정보를 담은 ‘국가생물종목록집북한지역 균류’를 11월 20일 발간하였으며, 이 목록집에는 북한지역에 서식하는 버섯류 1,401종과 곰팡이류 378종을 수록하여 남북한의 공동 서식이 확인된 종은 922종 이상인 것으로 나타났다.","국립생물자원관은 2016년부터 2020년까지 문헌 조사를 통해 확보한 북한에 서식하는 균류 1,779종의 정보를 담은 국가생물종목록집북한지역 균류를 발간한다고 밝혔다.   국립생물관 누리집에서도 볼 수 ",0.7499999999999999,0.8,0.7142857142857143,0.7499999999999999,0.7499999999999999,0.8,0.40845147273058313,0.2435028587063475,0.8190257549285889,0.8244208693504333,0.95228111743927,0.9537227749824524,0.5714285714285714,0.45
6,"법무부는 조직적․계획적인 역학조사 거부 행위 또는 정부 방역정책에 대한 적극 방해가 있을 경우, 구속 수사를 원칙으로 하겠다고 보고했습니다. 또한 허위신고로 대규모 인력 현장 출동, 정부 방역정책에 대한 적극 방해 결과가 나타는 경우, 3회 이상 상습 허위신고 사범 등에 대해서도 구속 수사할 방침입니다.","법무부는 조직적.계획적인 역학조사 거부 행위 또는 정부 방역정책에 대한 적극 방해가 있을 경우, 구속 수사를 원칙으로 하고, 상습 허위신고 사범 등에 대해서도 구속 수사할 방침이다.  
 검찰청은 그간 격리조치 위반 등 감염병예방법 위반 행위자 707명을 수사하여 282명 기소 송치(구속 6), 423명 수사 중, 2명 불기소 송치하였다고 밝혔다.","법무부는 감염병 위험이 크다고 인정되는 시설장소 등에 방역지침의 준수 의무를 부과하고 허위신고로 대규모 인력 현장 출동, 정부 방역정책에 대한 적극 방해 결과가 나타는 경우 구속 수사를 원칙으로 하겠다고 보고했다.",0.0,0.0,0.0,0.0,0.0,0.0,0.4061685066212571,0.3065408999625752,0.790677011013031,0.8337292075157166,0.9258236885070801,0.9278280138969421,0.5777777777777777,0.5
7,"소위 냉전의 승자가 자신들의 필요와 이익에 맞게 압력을 가하고 세계를 재 정비했을 뿐입니다. 만약 지금의 국제관계, 국제법, 견제와 균형의 체제가 그들의 이익 창출에 기여하고 있다면 이러한 시스템은 낡고 의미 없으며 즉시 폐기되어야 합니다. 미국은 자신들이 냉전의 승리자라 선언했습니다.","미국은 자신들이 냉전의 승리자라 선언하며 그들은 국제질서와 안정을 유지하는 데 필요한 힘의 새로운 균형을 만드는 대신 그들은 국제질서를 깊은 불균형의 상태로 만들어 버렸고 이러한 시스템은 낡고 의미 없으며 즉시 폐기되어야 하며 또한 즉시 폐기되어야 한다.  하지만 현재의 국제관계, 국제법, 견제와 균형의 체제가 그들의 이익 창출에 기여하고 있다면 이러한 시스템은 당장 폐기되어야 합니다.",미국은 자신들이 냉전의 승리자라 선언하며 질서와 안정을 유지하는 데 필요한 힘의 새로운 균형을 만드는 대신 국제질서를 깊은 불균형의 상태로 만들어 버렸고 냉전은 깨끗한 합의에 따른 평화조약에 대한 서명 없이 끝났다.,0.0,0.0,0.0,0.0,0.0,0.0,0.35630548449868954,0.05952928777425101,0.7899055480957031,0.7247951030731201,0.9410468339920044,0.8992685675621033,0.5918367346938775,0.896551724137931
8,"농촌진흥청(청장 김경규)은 제주시 한림읍에 소재한 옥수수 재배포장에서 열대거세미나방 성충(다 자란 곤충, 어른벌레)을 발견했다고 11일 밝혔다. 현재 제주지역과 서남해안 거점지역(50개 시군), 옥수수 주산지역(109개 시군)을 중심으로 트랩 설치와 육안 조사가 진행 중이다.","농촌진흥청은 제주시 한림읍에 소재한 옥수수 재배포장에서 최근 중국 내 열대거세미나방 발생이 늘어남에 따라 국내 발생 우려가 높은 곳 중 한인인 중국 강소성, 안휘성 등을 포함한 10개 성에서 발생해 편서풍을 타고 국내에 유입되는 가능성이 높다고 밝혔으며, 이에따라 농업기술원과 농업기술센터의 병해충 담당자를 대상으로 비대면 영상 교육 실시, 예찰방제 지침서 배부 등 신속한 대응을 위한 사전 준비를 마쳤다.",농촌진흥청은 제주지역 일원에서 실시한 합동 예찰과정에서 옥수수 재배포장에서 발견된 열대거세미나방 성충에 대해 신속한 대응을 위한 사전 준비를 마친 바 있으며 중국에서 국내로 날아왔을 것으로 추측된다고 밝혔다.    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0647637082044514,0.02377999882596585,0.7432372570037842,0.7637975215911865,0.9001099467277527,0.8738629221916199,0.9259259259259259,0.96
9,"현재 저희가 이런 공항에서의 유럽 쪽의 입국자들에 대한 검진을 비롯해서 요양병원에 대한 표본조사나 전국적으로 의사선생님들이 의뢰하고 계시는 코로나 의심환자들에 대한 진단검사 등등을 포함해서 대략 1만 건~1만 5,000건 정도의 검사들이 왔다 갔다 하면서 전개가 되고 있고, 그런 가운데서 검사 총량의 여력을 고려해야 됩니다. 그렇기 때문에 '검사를 전수를 다 할 거냐, 말 거냐?'는 굳이 미국 입국자가 아니라 요양병원의 전수검사가 필요하지 않느냐, 위험지역 종사자들에 대한 전수검사가 필요하지 않느냐 등등의 건의들에 대해서 제가 계속 위험도를 평가하면서 위험순위가 높은 집단을 중심으로 진단검사를 집중하는 게 이런 총량에 제한이 있다는 것을 같이 감안해 주시기 바랍니다.","현재 저희가 공항에서의 유럽 쪽의 입국자들에 대한 검진을 비롯해서 요양병원에 대한 표본조사나 전국적으로 의사선생님들이 의뢰하고 계시는 코로나 의심환자들에 대한 진단검사 등등을 포함해서 대략 1만 건~1만 5,000건 정도의 검사들이 왔다 갔다 하면서 전개가 되고 있는 가운데 검사 총량에 제한이 있다는 것을 같이 감안해 주시기 바랍니다.","코로나19의 상황이긴 하지만 국민들의 참정권, 투표권을 최대화할 수 있는 여러 가지 다각적인 방안들을 강구하고 논의 중에 있으며 선거가 다가옴에 따라 참정권과 투표권에 대한 생각들도 상당히 높아지고 있다. ",1.0,0.0,1.0,0.0,1.0,0.0,0.3190587549348538,0.0010602196853284993,0.8388808369636536,0.6323822140693665,0.957194447517395,0.807270348072052,0.11627906976744186,1.0
