sample_id,text,true_keywords,keybert_keywords,keybert_precision,keybert_recall,keybert_f1,keybert_partial_match,keybert_map,keybert_ndcg,keybert_semantic_sim,tfidf_keywords,tfidf_precision,tfidf_recall,tfidf_f1,tfidf_partial_match,tfidf_map,tfidf_ndcg,tfidf_semantic_sim,textrank_keywords,textrank_precision,textrank_recall,textrank_f1,textrank_partial_match,textrank_map,textrank_ndcg,textrank_semantic_sim,hybrid_keywords,hybrid_precision,hybrid_recall,hybrid_f1,hybrid_partial_match,hybrid_map,hybrid_ndcg,hybrid_semantic_sim
0,Father arrested in Japan for using shock collar to discipline children A 45 year old man was arrested Wednesday for the alleged use of a shock collar to discipline his three children police said the l...,children; abuse; kitakyushu,ordered his children; children police said; collar to discipline; school then reported; suffered minor burn,0.0,0.0,0,0.4,0.0,0.0,0.65314555,,0,0,0,0,0.0,0.0,0,consultation; legislators; researchers; ineffective; unanimously,0.0,0.0,0.0,0.0,0.0,0.0,0.68357354,ordered his children; children police said; their parents paving; collar to discipline; school then reported,0.0,0.0,0,0.4,0.0,0.0,0.6641236
1,Low cost prostheses give thousands of Indians chance to lead near normal lives JAIPUR INDIA Vishnu Kumar had barely reached adulthood when he lost his limbs in a freak electrical accident seemingly co...,india; medicine,barefoot in kitchens; normal lives jaipur; aids was devastated; charity has teamed; waited for fitting,0.0,0.0,0,0.0,0.0,0.0,0.5173906,,0,0,0,0,0.0,0.0,0,proliferation; revolutionary; collaboration; possibilities; manufacturers,0.0,0.0,0.0,0.0,0.0,0.0,0.64571065,cost prostheses give; barefoot in kitchens; see amputees begging; millions of amputees; weeks to manufacture,0.0,0.0,0,0.0,0.0,0.0,0.5357584
2,Free pending retrial Japanese boxer sentenced to death keeps up the good fight HAMAMATSU SHIZUOKA PREF Shuffling down the street sporting shorts a jacket and straw hat 82 year old Iwao Hakamada could ...,iwao hakamada; capital punishment; death row,hakamada the clothes; bloodstains were too; before burning their; building his fantasy; people there lawyers,0.0,0.0,0,0.0,0.0,0.0,0.6461515,,0,0,0,0,0.0,0.0,0,industrialized; interrogation; extraordinary; unnecessarily; investigators,0.0,0.0,0.0,0.0,0.0,0.0,0.66323876,hakamada the clothes; bloodstains were too; before burning their; building his fantasy; people there lawyers,0.0,0.0,0,0.0,0.0,0.0,0.6461515
3,Abe sets ruling bloc s winning bar at Upper House majority Prime Minister Shinzo Abe on Saturday set the win or lose bar for the ruling coalition in this summer s House of Councilors election at the m...,upper house; majority; shinzo abe; election,the agreement serves; effort into securing; exceeding the levels; decide whether they; to become involved,0.0,0.0,0,0.0,0.0,0.0,0.5716604,,0,0,0,0,0.0,0.0,0,representatives; administration; constitutional; multilateral; agricultural,0.0,0.0,0.0,0.0,0.0,0.0,0.66516626,the agreement serves; effort into securing; exceeding the levels; partner komeito when; parties for refusing,0.0,0.0,0,0.0,0.0,0.0,0.61827403
4,Cabinet support rate falls to 47 6 amid controversy over pension provision telephone poll shows The approval rate for Prime Minister Shinzo Abe s Cabinet has dipped to 47 6 percent a Kyodo News survey...,pension; polls; shinzo abe; taro aso; donald trump,the survey contacted; gave valid responses; submitted to finance; the country grapples; contacted 741 voters,0.0,0.0,0,0.0,0.0,0.0,0.6929838,,0,0,0,0,0.0,0.0,0,misunderstanding; deteriorating; increasingly; backpedaling; inadvertent,0.0,0.0,0.0,0.0,0.0,0.0,0.74080116,the survey contacted; gave valid responses; survey contacted 741; submitted to finance; the country grapples,0.0,0.0,0,0.0,0.0,0.0,0.6992574
5,Catapulting spider springs a surprise on unsuspecting prey study finds WASHINGTON Just when you thought spiders couldn t get any more terrifying A study published Monday has found that an arachnid spe...,spiders; insects,before releasing its; published monday has; under lab conditions; any more terrifying; devices feat people,0.0,0.0,0,0.0,0.0,0.0,0.6084229,,0,0,0,0,0.0,0.0,0,observational; understanding; accelerations; unsuspecting; applications,0.0,0.0,0.0,0.0,0.0,0.0,0.7403094,before releasing its; on unsuspecting prey; published monday has; understanding how it; under lab conditions,0.0,0.0,0,0.0,0.0,0.0,0.62693906
6,New group of South Korean lawmakers plans fence mending visit to Japan Nam Gwan pyo named new ambassador SEOUL Moon Hee sang speaker of South Korea s National Assembly has set up a group of lawmakers ...,moon hee-sang; comfort women; south korea-japan relations; nam gwan pyo,according to sources; who formerly headed; with senior members; announced on friday; ambassador to japan,0.0,0.0,0,0.0,0.0,0.0,0.65546405,,0,0,0,0,0.0,0.0,0,requisitioned; deterioration; circumstances; compensation; relationship,0.0,0.0,0.0,0.0,0.0,0.0,0.61889964,beef up interchanges; former second deputy; according to sources; asian neighbors has; who formerly headed,0.0,0.0,0,0.0,0.0,0.0,0.6581065
7,GTT Our quirky discerning picks for the most interesting things to do around the state this week BRYAN COLLEGE STATION Homegrown Celebration Urban farming has become a way of life as people focus on b...,Texas; Restaurant; Museum; San Antonio; College Station TX,cultures titled farm; weekend retreat held; wine dinners served; of scholars chefs,0.0,0.0,0,0.0,0.0,0.0,0.55771905,,0,0,0,0,0.0,0.0,0,valerotexasopen; luckenbachtexas; restaurateurs; spontaneously; complimentary,0.0,0.0,0.0,0.6,0.0,0.0,0.67058116,cultures titled farm; weekend retreat held; paintings mr hassell; obstacle race series; the dulcimer fretted,0.0,0.0,0,0.0,0.0,0.0,0.585005
8,Japan and U S to discuss higher standards in applying tariff cuts sources say The United States is expected to pursue setting higher standards to qualify for reduced tariffs in upcoming trade talks wi...,tariffs; trade; donald trump; fta; u.s.-japan relations,upcoming trade talks; applying tariff cuts; zero percent tariffs; suppliers the united; demanding that japan,0.0,0.0,0,0.4,0.0,0.0,0.70959723,,0,0,0,0,0.0,0.0,0,opportunities; manufacturing; preferential; negotiations; regulations,0.0,0.0,0.0,0.0,0.0,0.0,0.6832066,upcoming trade talks; applying tariff cuts; zero percent tariffs; vehicles partly made; suppliers the united,0.0,0.0,0,0.4,0.0,0.0,0.7069168
9,Publisher Struggles in Chase for Growth Timing matters when it comes to news I had been reading about Aaron Kushner s audacious strategy to invest in journalism ever since he bought The Orange County ...,"Aaron Kushner; Orange County Register; Layoffs; Newspaper; Freedom Communications; News media,journalism",newsroom had layoffs; been head scratching; journalists he hired; amortizing the costs; invest in journalism,0.0,0.0,0,0.2,0.0,0.0,0.678615,,0,0,0,0,0.0,0.0,0,counterintuitive; straightforward; misrepresented; communications; consolidating,0.0,0.0,0.0,0.2,0.0,0.0,0.6854987,newsroom had layoffs; been head scratching; journalists he hired; expansive agenda had; amortizing the costs,0.0,0.0,0,0.2,0.0,0.0,0.6581334
10,Exxon s Second Quarter Earnings Set a Record HOUSTON Exxon Mobil reported the best quarterly profit ever for a corporation on Thursday beating its own record but investors sold off shares as oil and n...,Company Reports; Exxon Mobil Corp; Royal Dutch Shell Plc,prices resumed their; year adding together; said senator charles; street had expected; profits were nearly,0.0,0.0,0,0.0,0.0,0.0,0.5402378,,0,0,0,0,0.0,0.0,0,disappointment; underinvesting; international; expropriation; difficulties,0.0,0.0,0.0,0.0,0.0,0.0,0.52773774,prices resumed their; prices now declining; year adding together; quarter earnings set; said senator charles,0.0,0.0,0,0.0,0.0,0.0,0.54187095
11,Hope dims to find missing Yazidi women enslaved by Islamic State sold to its fighters DAHUK IRAQ Baseh Hammo was 38 when she was enslaved by militants of the Islamic State group Raped and abused she w...,yazidis; islamic state; iraq; syria; baghouz; slavery; conflict; terrorism,stormed yazidi towns; after being abducted; abducted five years; among the thousands; forces resume their,0.0,0.0,0,0.0,0.0,0.0,0.672369,,0,0,0,0,0.0,0.0,0,indoctrinated; international; interrogation; unaccounted; countryside,0.0,0.0,0.0,0.0,0.0,0.0,0.77874213,stormed yazidi towns; yazidis were rescued; after being abducted; were finally trapped; young male relatives,0.0,0.0,0,0.2,0.0,0.0,0.68886364
12,Ex temp worker runs down 11 at Mazda plant in Hiroshima HIROSHIMA A former temporary worker at Mazda Motor Corp hit 11 Mazda employees with a car Tuesday morning at the automaker s plant in the city o...,mazda; hiroshima; toshiaki hikiji; murder,of hiroshima killing; mazda employees with; police said toshiaki; getting into trouble; hitting the workers,0.0,0.0,0,0.4,0.0,0.0,0.75088376,,0,0,0,0,0.0,0.0,0,prefectural; particular; conference; terminated; hiroshima,0.2,0.25,0.22222222222222224,0.2,0.05,0.15101961822780524,0.7377833,of hiroshima killing; mazda employees with; police said toshiaki; getting into trouble; knife the hiroshima,0.0,0.0,0,0.6,0.0,0.0,0.7885517
13,Nikkei closes above 22 000 for first time in four months Stocks soared on the Tokyo Stock Exchange on Monday with the benchmark Nikkei average topping 22 000 for the first time in four months The 225 ...,stocks; tse; equities,months stocks soared; daiwa house industry; steven mnuchin said; dow advancing close; executed the market,0.0,0.0,0,0.2,0.0,0.0,0.5895766,,0,0,0,0,0.0,0.0,0,psychologically; irregularities; manipulation; considerably; negotiations,0.0,0.0,0.0,0.0,0.0,0.0,0.6732014,months stocks soared; dow jones industrial; daiwa house industry; securities firm said; steven mnuchin said,0.0,0.0,0,0.2,0.0,0.0,0.6039427
14,Osaka vows to strengthen disaster measures one year on from quake OSAKA School and municipal government officials in Osaka Prefecture reaffirmed Tuesday their commitment to beefing up anti earthquake ...,osaka; schools; earthquakes,prayers have renewed; takatsuki where year; and trigger tsunamis; death after concrete; devote our energies,0.0,0.0,0,0.0,0.0,0.0,0.70773506,,0,0,0,0,0.0,0.0,0,municipalities; determination; preparedness; surrounding; prefectures,0.0,0.0,0.0,0.0,0.0,0.0,0.6992612,prayers have renewed; adviser had informed; takatsuki where year; and trigger tsunamis; death after concrete,0.0,0.0,0,0.0,0.0,0.0,0.6941024
