parameter_combination,model_name,ngram_range,top_n,stop_words_type,diversity_ratio,avg_keyword_length,score_variance,avg_score,execution_time
"paraphrase-multilingual-MiniLM-L12-v2_(1, 1)_5_basic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 1)",5,basic,1.0,3.0,0.010875523424,0.515176,13.392708778381348
"paraphrase-multilingual-MiniLM-L12-v2_(1, 1)_5_extended",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 1)",5,extended,1.0,3.0,0.010875523424,0.515176,11.249144077301025
"paraphrase-multilingual-MiniLM-L12-v2_(1, 1)_10_basic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 1)",10,basic,1.0,2.86,0.010769950544,0.46388399999999996,26.298106908798218
"paraphrase-multilingual-MiniLM-L12-v2_(1, 1)_10_extended",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 1)",10,extended,1.0,2.86,0.010769950544,0.46388399999999996,12.663537740707397
"paraphrase-multilingual-MiniLM-L12-v2_(1, 2)_5_basic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 2)",5,basic,1.0,6.56,0.006526263264,0.6399440000000001,26.503637552261353
"paraphrase-multilingual-MiniLM-L12-v2_(1, 2)_5_extended",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 2)",5,extended,1.0,6.56,0.006526263264,0.6399440000000001,12.311728239059448
"paraphrase-multilingual-MiniLM-L12-v2_(1, 2)_10_basic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 2)",10,basic,1.0,6.22,0.006498456736,0.6135079999999999,27.423781633377075
"paraphrase-multilingual-MiniLM-L12-v2_(1, 2)_10_extended",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 2)",10,extended,1.0,6.22,0.006498456736,0.6135079999999999,13.300820112228394
"paraphrase-multilingual-MiniLM-L12-v2_(1, 3)_5_basic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 3)",5,basic,1.0,9.4,0.0053454296000000024,0.6761000000000001,28.52445340156555
"paraphrase-multilingual-MiniLM-L12-v2_(1, 3)_5_extended",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 3)",5,extended,1.0,9.4,0.0053454296000000024,0.6761000000000001,13.229679822921753
"paraphrase-multilingual-MiniLM-L12-v2_(1, 3)_10_basic",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 3)",10,basic,1.0,9.04,0.005499426676,0.6632819999999999,28.05626082420349
"paraphrase-multilingual-MiniLM-L12-v2_(1, 3)_10_extended",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"(1, 3)",10,extended,1.0,9.04,0.005499426676,0.6632819999999999,13.676390647888184
