sample_id,text,ecosystem,true_keywords,keybert_keywords,keybert_precision,keybert_recall,keybert_f1,keybert_partial_match,keybert_semantic_sim,keybert_ndcg,tfidf_keywords,tfidf_precision,tfidf_recall,tfidf_f1,tfidf_partial_match,tfidf_semantic_sim,tfidf_ndcg,textrank_keywords,textrank_precision,textrank_recall,textrank_f1,textrank_partial_match,textrank_semantic_sim,textrank_ndcg,hybrid_keywords,hybrid_precision,hybrid_recall,hybrid_f1,hybrid_partial_match,hybrid_semantic_sim,hybrid_ndcg
0,This package is a single spa parcel microfrontend to see account team members,npm,thoughtworks; mytw; techops; internal,microfrontend; parcel; spa; account; members,0.0,0.0,0.0,0.0,0.0,0.0,team; single; parcel; see; spa,0.0,0.0,0.0,0.0,0.0,0.0,parcel; account; microfrontend; see; spa,0.0,0.0,0.0,0.0,0.0,0.0,parcel; microfrontend; spa; team; account,0.0,0.0,0.0,0.0,0.0,0.0
1,swing any react component,npm,60fps; animation; animations; react; scale; transform; translatex; translatey,react; component; swing,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0000001192092896,0.2807721888661444,swing; react; component,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0000001192092896,0.2807721888661444,react; swing; component,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0000001192092896,0.2807721888661444,react; swing; component,0.3333333333333333,0.125,0.18181818181818182,0.3333333333333333,1.0000001192092896,0.2807721888661444
2,To parase multipart form data body to a JSON object,npm,multipart-form-data; form-data parser; body parser,json; multipart; parase; body; form,0.0,0.0,0.0,0.6,0.6291853189468384,0.36691906263413554,parase; multipart; body; form; json,0.0,0.0,0.0,0.6,0.6291853189468384,0.4049765583210164,form; body; data; multipart; json,0.0,0.0,0.0,0.8,0.6291853189468384,0.5950234416789836,multipart; json; parase; body; form,0.0,0.0,0.0,0.6,0.6291853189468384,0.36691906263413554
3,Browse your js object smoothly,npm,json; browse; search; query; iterate,js; smoothly; browse; object,0.25,0.2,0.22222222222222224,0.5,1.0,0.3175336223641074,smoothly; browse; js; object,0.25,0.2,0.22222222222222224,0.5,1.0,0.36934595283166205,js; object; browse; smoothly,0.25,0.2,0.22222222222222224,0.5,1.0,0.3175336223641074,js; smoothly; browse; object,0.25,0.2,0.22222222222222224,0.5,1.0,0.3175336223641074
4,📦 Simple HTTP client that uses ES7 async functions.,npm,async; fetch; node; javascript,async; http; functions; uses,0.25,0.25,0.25,0.25,1.000000238418579,0.31939394323979897,uses; http; async; functions,0.25,0.25,0.25,0.25,1.000000238418579,0.20151514190050246,uses; async; http; functions,0.25,0.25,0.25,0.25,1.000000238418579,0.31939394323979897,async; http; uses; functions,0.25,0.25,0.25,0.25,1.000000238418579,0.31939394323979897
5,TypeScript declarations for ROS2 rclnodejs node client,npm,rclnodejs; ros2; ros; node; typescript; javascript,typescript; rclnodejs; declarations; node,0.75,0.5,0.6,0.75,1.0000001192092896,0.7019304721653611,typescript; rclnodejs; declarations; node,0.75,0.5,0.6,0.75,1.0000001192092896,0.7019304721653611,declarations; rclnodejs; typescript; node,0.75,0.5,0.6,0.75,1.0000001192092896,0.598305811230252,typescript; rclnodejs; declarations; node,0.75,0.5,0.6,0.75,1.0000001192092896,0.7019304721653611
6,Adds support for SVGs in your NativeScript apps.,npm,nativescript; javascript; android; ios; svg; vue,nativescript; svgs; apps; adds,0.25,0.16666666666666666,0.2,0.5,0.8794550895690918,0.4211582832992166,svgs; nativescript; adds; apps,0.25,0.16666666666666666,0.2,0.5,0.8794550895690918,0.4211582832992166,svgs; nativescript; adds; apps,0.25,0.16666666666666666,0.2,0.5,0.8794550895690918,0.4211582832992166,nativescript; svgs; apps; adds,0.25,0.16666666666666666,0.2,0.5,0.8794550895690918,0.4211582832992166
7,Download or Read epub/pdF download [EPUB] Cultish: The Language of Fanaticism BY Amanda Montell on Audible New Edition,npm,pdf; download; epub; book,fanaticism; cultish; epub; audible; language,0.2,0.25,0.22222222222222224,0.2,1.0,0.20151514190050246,epub; download; pdf; new; cultish,0.6,0.75,0.6666666666666665,0.6,1.0,0.8403030283801005,epub; audible; download; montell; amanda,0.4,0.5,0.4444444444444445,0.4,1.0,0.5209090851403014,epub; fanaticism; cultish; audible; download,0.4,0.5,0.4444444444444445,0.4,1.0,0.4569494273838043
8,The missing bridge between Java and native C++ libraries,maven,android; java; javacpp-presets; maven; native-libraries; python,libraries; java; native; bridge; missing,0.2,0.16666666666666666,0.1818181818181818,0.6,0.7935206294059753,0.5097320472647343,native; java; bridge; missing; libraries,0.2,0.16666666666666666,0.1818181818181818,0.6,0.7935206294059753,0.48161928325101844,java; bridge; native; missing; libraries,0.2,0.16666666666666666,0.1818181818181818,0.6,0.7935206294059753,0.42980695278346387,java; native; libraries; bridge; missing,0.2,0.16666666666666666,0.1818181818181818,0.6,0.7935206294059753,0.5097320472647343
9,Function-Level Entrypoint and Endpoint Technology,npm,aws; lambda; serverless; cli,endpoint; entrypoint; technology; level; function,0.0,0.0,0.0,0.0,0.0,0.0,technology; entrypoint; endpoint; function; level,0.0,0.0,0.0,0.0,0.0,0.0,entrypoint; level; endpoint; function; technology,0.0,0.0,0.0,0.0,0.0,0.0,entrypoint; endpoint; technology; level; function,0.0,0.0,0.0,0.0,0.0,0.0
10,Azure Industrial IoT Cryptography core,nuget,industrial; iot; manufacturing; azure; .net; dotnet; edge; industrial-iot; iot-edge; opc-ua,azure; iot; cryptography; core; industrial,0.6,0.3,0.4,0.6,1.0000001192092896,0.6824663776358925,industrial; iot; core; cryptography; azure,0.6,0.3,0.4,0.6,1.0000001192092896,0.6824663776358925,iot; industrial; cryptography; azure; core,0.6,0.3,0.4,0.6,1.000000238418579,0.7019304721653611,iot; azure; industrial; cryptography; core,0.6,0.3,0.4,0.6,1.000000238418579,0.7386919056633241
11,PHP Implementation of abokiFX API,packagist,forex; digikraaft; abokifx-php; aboki,abokifx; php,0.0,0.0,0.0,1.0,0.6879758834838867,0.31939394323979897,php; abokifx,0.0,0.0,0.0,1.0,0.6879758834838867,0.31939394323979897,php; abokifx,0.0,0.0,0.0,1.0,0.6879758834838867,0.31939394323979897,abokifx; php,0.0,0.0,0.0,1.0,0.6879758834838867,0.31939394323979897
12,"Loading overlays with fade, spinner, message support.",npm,react; loading; loader; fade; transition; spinner; loaders; loading-overlay; overlay; reactjs,overlays; fade; spinner; loading; message,0.6,0.3,0.4,0.8,0.9851207137107849,0.7386919056633241,overlays; spinner; message; loading; fade,0.6,0.3,0.4,0.8,0.9851206541061401,0.6824663776358925,fade; overlays; spinner; loading; message,0.6,0.3,0.4,0.8,0.9851207137107849,0.7386919056633241,overlays; fade; spinner; loading; message,0.6,0.3,0.4,0.8,0.9851207137107849,0.7386919056633241
13,LCARS inspired multi-window dashboard,npm,lcars; angular; dashboard,dashboard; window; lcars; multi; inspired,0.4,0.6666666666666666,0.5,0.4,1.0,0.6199062332840657,window; lcars; dashboard; inspired; multi,0.4,0.6666666666666666,0.5,0.4,1.0,0.6199062332840657,multi; inspired; window; lcars; dashboard,0.4,0.6666666666666666,0.5,0.4,1.0,0.3537443585523369,window; dashboard; lcars; multi; inspired,0.4,0.6666666666666666,0.5,0.4,1.0,0.6199062332840657
14,Simple node wrapper for ffmpeg.,npm,ffmpeg; encoder; video; audio; h264; mp3; ogg; ogv; theora; webm,ffmpeg; node; wrapper,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.3333333333333333,1.000000238418579,0.2807721888661444,ffmpeg; node; wrapper,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.3333333333333333,1.000000238418579,0.2807721888661444,wrapper; node; ffmpeg,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.3333333333333333,1.000000238418579,0.17714752793103522,ffmpeg; node; wrapper,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.3333333333333333,1.000000238418579,0.2807721888661444
15,Amazon SageMaker FeatureStore PySpark Bindings,pypi,ml; amazon; aws; ai; featurestore; sagemaker,pyspark; sagemaker; featurestore; bindings; amazon,0.6,0.5,0.5454545454545454,0.6,1.0000001192092896,0.5788417167007833,sagemaker; pyspark; amazon; featurestore; bindings,0.6,0.5,0.5454545454545454,0.6,1.0000001192092896,0.598305811230252,featurestore; sagemaker; pyspark; amazon; bindings,0.6,0.5,0.5454545454545454,0.6,1.0000001192092896,0.7019304721653611,pyspark; sagemaker; featurestore; amazon; bindings,0.6,0.5,0.5454545454545454,0.6,1.0000001192092896,0.598305811230252
16,Symfony Parser OPDS XML bundle,packagist,symfony; opds; bookeen,symfony; opds; xml; bundle; parser,0.4,0.6666666666666666,0.5,0.4,1.0,0.7601875334318685,xml; symfony; opds; bundle; parser,0.4,0.6666666666666666,0.5,0.4,1.0,0.6199062332840657,opds; parser; xml; symfony; bundle,0.4,0.6666666666666666,0.5,0.4,1.0,0.5701406500739014,symfony; opds; xml; bundle; parser,0.4,0.6666666666666666,0.5,0.4,1.0,0.7601875334318685
17,Low-level AWS wrapper for ZIO,maven,aws; scala; zio,zio; aws; wrapper; level; low,0.4,0.6666666666666666,0.5,0.4,1.0000001192092896,0.7601875334318685,zio; low; aws; level; wrapper,0.4,0.6666666666666666,0.5,0.4,1.0000001192092896,0.6199062332840657,aws; level; wrapper; low; zio,0.4,0.6666666666666666,0.5,0.4,1.0000001192092896,0.543791241910304,zio; aws; wrapper; level; low,0.4,0.6666666666666666,0.5,0.4,1.0000001192092896,0.7601875334318685
