sample_id,text,true_keywords,keybert_keywords,keybert_precision,keybert_recall,keybert_f1,keybert_map,keybert_ndcg,keybert_semantic_sim,tfidf_keywords,tfidf_precision,tfidf_recall,tfidf_f1,tfidf_map,tfidf_ndcg,tfidf_semantic_sim,textrank_keywords,textrank_precision,textrank_recall,textrank_f1,textrank_map,textrank_ndcg,textrank_semantic_sim
0,"Father arrested in Japan for using shock collar to discipline children  A 45-year-old man was arrested Wednesday for the alleged use of a shock collar to discipline his three children, police said, th...",children; abuse; kitakyushu,father arrested; shaken japan; children police; boy suffered; collar used,0.0,0.0,0.0,0.0,0.0,0.43356314,law,0.0,0.0,0.0,0.0,0.0,0.4454054534435272,children; police; said; shock; collar,0.2,0.3333333333333333,0.25,0.3333333333333333,0.46927872602275644,0.62141
1,"Low-cost prostheses give thousands of Indians chance to lead near-normal lives  JAIPUR, INDIA - Vishnu Kumar had barely reached adulthood when he lost his limbs in a freak electrical accident, seeming...",india; medicine,india vishnu; hope prostheses; toilets without; making dozens; style squat,0.0,0.0,0.0,0.0,0.0,0.34567037,artificial; technology; government,0.0,0.0,0.0,0.0,0.0,0.32742932438850403,limbs; amputees; mehta; new; world,0.0,0.0,0.0,0.0,0.0,0.3557384
2,"Free pending retrial, Japanese boxer sentenced to death keeps up the good fight  HAMAMATSU, SHIZUOKA PREF. - Shuffling down the street sporting shorts, a jacket and straw hat, 82-year-old Iwao Hakamad...",iwao hakamada; capital punishment; death row,japanese boxer; death sentence; murderer finds; decades he; hat,0.0,0.0,0.0,0.0,0.0,0.48827147,government; health,0.0,0.0,0.0,0.0,0.0,0.30014920234680176,court; hakamada; said; death; could,0.0,0.0,0.0,0.0,0.0,0.58153605
3,Abe sets ruling bloc's winning bar at Upper House majority  Prime Minister Shinzo Abe on Saturday set the win-or-lose bar for the ruling coalition in this summer’s House of Councilors election at the ...,upper house; majority; shinzo abe; election,winning bar; prime minister; abe voiced; komeito manages; summit which,0.0,0.0,0.0,0.0,0.0,0.3701684,,0.0,0.0,0.0,0.0,0.0,0.0,election; abe; house; seats; said,0.2,0.25,0.22222222222222224,0.25,0.3903800499921017,0.61969596
4,"Cabinet support rate falls to 47.6% amid controversy over pension provision, telephone poll shows  The approval rate for Prime Minister Shinzo Abe’s Cabinet has dipped to 47.6 percent, a Kyodo News su...",pension; polls; shinzo abe; taro aso; donald trump,cabinet support; rate falls; approval rate; 513 of; month by,0.0,0.0,0.0,0.0,0.0,0.28065196,government; society; finance,0.0,0.0,0.0,0.0,0.0,0.39723095297813416,percent; survey; amid; abe; report,0.0,0.0,0.0,0.03333333333333333,0.0,0.5636141
5,"Catapulting spider springs a surprise on unsuspecting prey, study finds  WASHINGTON - Just when you thought spiders couldn’t get any more terrifying. A study published Monday has found that an arachni...",spiders; insects,mechanism for; more species; jumping; could yield; web both,0.0,0.0,0.0,0.0,0.0,0.27159086,energy; development,0.0,0.0,0.0,0.0,0.0,0.21846920251846313,spider; web; prey; energy; han,0.0,0.0,0.0,0.07142857142857142,0.0,0.46105966
6,"New group of South Korean lawmakers plans fence-mending visit to Japan; Nam Gwan-pyo named new ambassador  SEOUL - Moon Hee-sang, speaker of South Korea’s National Assembly, has set up a group of lawm...",moon hee-sang; comfort women; south korea-japan relations; nam gwan pyo,visit japan; new ambassador; plans fence; security office; moon called,0.0,0.0,0.0,0.0,0.0,0.40381208,government,0.0,0.0,0.0,0.0,0.0,0.3635028600692749,japan; korean; south; japanese; moon,0.0,0.0,0.0,0.0,0.0,0.6698458
7,"GTT ★ Our quirky, discerning picks for the most interesting things to do around the state this week. BRYAN-COLLEGE STATION Homegrown Celebration Urban farming has become a way of life as people focus ...",Texas; Restaurant; Museum; San Antonio; College Station TX,urban farming; texas open; regional music; life as; state with,0.0,0.0,0.0,0.0,0.0,0.43829185,culture,0.0,0.0,0.0,0.0,0.0,0.519554615020752,texas; march; like; year; luckenbach,0.2,0.2,0.20000000000000004,0.2,0.3391602052736161,0.48906296
8,"Japan and U.S. to discuss higher standards in applying tariff cuts, sources say  The United States is expected to pursue setting higher standards to qualify for reduced tariffs in upcoming trade talks...",tariffs; trade; donald trump; fta; u.s.-japan relations,reduced tariffs; japan such; united states; standards in; suppliers,0.0,0.0,0.0,0.0,0.0,0.56774867,treatment,0.0,0.0,0.0,0.0,0.0,0.25632646679878235,states; united; made; trade; japan,0.2,0.2,0.20000000000000004,0.05,0.14606834984270645,0.61673987
9,Publisher Struggles in Chase for Growth Timing matters when it comes to news. I had been reading about Aaron Kushner’s audacious strategy to invest in journalism ever since he bought The Orange County...,"Aaron Kushner; Orange County Register; Layoffs; Newspaper; Freedom Communications; News media,journalism",news had; kushner wants; analyst who; founder hoiles; growth timing,0.0,0.0,0.0,0.0,0.0,0.4452219,strategy; community; business; experiment; innovation,0.0,0.0,0.0,0.0,0.0,0.3169965147972107,register; kushner; mr; said; county,0.0,0.0,0.0,0.0,0.0,0.52529716
